sku_code,category,domestic_sales,international_sales,total_sales
SET268-KR-NP-L,KURTA SET,8020196.0,17564446.0,25584642.0
SET268-KR-NP-XL,KURTA SET,6533356.08,10880628.0,17413984.08
J0230-SKD-M,KURTA SET,4221593.6,10211720.0,14433313.6
SET268-KR-NP-S,KURTA SET,4539518.16,8901245.0,13440763.16
JNE3405-KR-L,KURTA,3698260.51,5895981.0,9594241.51
J0230-SKD-L,KURTA SET,3667403.4,5894350.0,9561753.4
SET268-KR-NP-M,KURTA SET,2983410.0,5554024.0,8537434.0
JNE3405-KR-M,KURTA,3372404.67,5076684.0,8449088.67
J0230-SKD-S,KURTA SET,2399685.7,5549020.0,7948705.7
SET268-KR-NP-XXL,KURTA SET,2665837.56,3583542.0,6249379.56
